id	en_pattern	zh_required	zh_forbidden	scope	status	note
P01	\bcould not\b	無法	不能|未能|沒能	all	decided	嘗試後失敗：could not → 無法
P02	\bcannot\b	無法	不能|不可以|不可\b	all	decided	cannot 統一為“無法”；規範性禁止用 must not / not allowed 的譯法表達
P03	\bunable to\b	無法	不能	all	decided	
P04	\bmust not\b	不得|不能	無法	all	decided	規範性禁止保留“不得/不能”，與 cannot 區分
P05	\b(?:is |are )?not (?:be )?allowed\b	不允許	不能|無法	all	decided	
P06	\bnot supported\b|\bunsupported\b	不支援	不被支援|未支援	all	decided	
P07	\bout of memory\b	記憶體不足	記憶體溢位|記憶體用盡|記憶體耗盡	all	decided	
P08	\binvalid\b	無效	非法|不合法	all	decided	invalid → 無效；illegal 才用“非法”
P09	\bunrecognized\b	無法識別	未識別|不識別|未知	all	decided	unknown 才用“未知”
P10	\bunknown\b	未知	不認識|無法識別	all	decided	
P11	\bunexpected\b	非預期	意外|未預期|意料之外|不期望	all	decided	官方 zh_TW:unexpected section → 非預期;與 zh_CN「意外」相反
P12	\bdoes not exist\b	不存在		all	decided	
P13	\balready exists\b	已存在	已經存在	all	decided	
P14	\bpermission denied\b	權限不足	權限不夠|權限被拒|沒有權限|拒絕存取	all	decided	permission denied to X → 權限不足，無法 X
P15	\btoo many\b	過多	太多	all	decided	
P16	\btoo few\b	過少	太少	all	decided	
P17	\bmissing\b	缺少	丟失|缺失|遺漏	all	decided	lost 才用“丟失”
P18	\bsyntax error\b	語法錯誤		all	decided	
P19	\bskipping\b	跳過	忽略|略過	all	decided	
P20	\bignoring\b	忽略	忽視	all	decided	
P21	\btime(?:d)? ?out\b	逾時		all	decided	timeout = 逾時;zh_CN 超時
P22	\bdeprecated\b	已棄用	已廢棄|廢棄|不推薦|過時	all	decided	
P23	\brequires?\b(?! that)	需要	要求	all	decided	requires a value → 需要一個值
P24	\bexpected\b	預期|應為	期望|需要|應該是	all	decided	expected X, got Y → 預期為 X，實際為 Y
P25	\bterminat(?:e|ed|es|ing)\b	終止	中止	all	decided	terminate → 終止
P26	\babort(?:ed|ing|s)?\b	中止	終止|放棄|中斷	all	decided	abort → 中止;terminate 才是 終止
P27	\bcancel(?:ed|led|ing|s)?\b	取消		all	decided	
