术语ID	英文	原中文	调整后中文	操作类型	适用组件或语境	既有译法及来源	调整原因	影响消息或簇ID	决策状态	处理轮次	版本	证据索引	有效去重译文对数	来源重复口径
T0001	2PL	两阶段锁协议	两阶段锁协议	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0001; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0001	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0002	Abort	中止	中止	保留并限定语境	事务或操作中止；不要与 rollback 回滚、取消 cancel 或连接中断随意互换。	abort the current transaction → 中止目前的事务 [TE-0de0238e9a7c26856eb1] | abort reason: recovery conflict → 中断原因：与恢复操作相冲突 [TE-299fd933d438412dbeb6] | cannot abort during a parallel operation → 在并行操作期间无法中止 [TE-5c36e068cb75578b97b1]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0002; 4 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0002	6	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0003	abstraction	抽象	抽象	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0003; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0003	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0004	Access Method Properties	访问方法属性	访问方法属性	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0004; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0004	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0005	access path	访问路径	访问路径	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0005; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0005	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0006	access predicate	访问谓词	访问谓词	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0006; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0006	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0007	action	动作	动作	保留并限定语境	动作是抽象动作；帮助文本、用户操作 action 可沿用操作；触发器引用动作须说明具体动作。	action → 操作 [TE-c0f0155fddb79cb4208d] | \nOptional actions:\n → \n可选动作：\n [TE-3c8f1ee89180fbfe73cf] | where action is one of: → 操作可以是下列选项之一 [TE-aea4d703593bfb8fd038]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0007; 27 messages / 11 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0007	18	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0008	active/passive	主动/被动	主动/被动	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0008; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0008	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0009	advisory lock	咨询锁	咨询锁	保留并限定语境	现行锁 ID 诊断使用建议锁，复数 advisory locks 的并行操作限制使用咨询锁；同一概念有措辞冲突，原词表咨询锁保留，不强改正确原译；相关新句按调用簇复用并交人工核对。	advisory lock [%u,%u,%u,%u] → 建议锁 [%u,%u,%u,%u] [TE-13ec1fe18b99ea6849e7] | cannot use advisory locks during a parallel operation → 在并行操作期间无法使用咨询锁 [TE-9eaaeba6a2ba364c4cb9]	完整复数检索补得咨询锁先例，不能只依据单数建议锁诊断建立唯一规范；保留两种现行来源及适用消息。	target-links.jsonl#T0009; 1 messages / 1 clusters	冲突待人工核对；当前不强制统一	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0009	2	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0010	after-images	后映像	后映像	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0010; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0010	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0011	aggregate	聚合	聚合	保留并限定语境	聚合或聚合函数按对象选用；现行正确的聚集函数在原消息中保留，新候选优先聚合函数；aggregate state 是聚合状态。	List of aggregate functions → 聚集函数列表 [TE-ac2d005aa635891b8ef7] | aggregate %s does not exist → 聚合函数 %s(*) 不存在 [TE-30f692f5a13cbabfb371] | remove an aggregate function → 移除一个聚集函数 [TE-27b9db18d623bfe5b860]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0011; 114 messages / 12 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0011	106	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
