English	zh_CN	zh_TW	依据	附注
2PL	两阶段锁协议	兩階段鎖定協定	MS	阶段→階段(stage);锁协议→鎖定協定(2PL/S2PL)
Abort	中止	中止	字符	
abstraction	抽象	抽象	字符	
Access Method Properties	访问方法属性	存取方法屬性	MS	访问方法→存取方法(access method = 存取方法)
access path	访问路径	存取路徑	MS	
access predicate	访问谓词	存取述詞	MS	访问谓词→存取述詞(access predicate)
action	动作	動作	字符	
active/passive	主动/被动	主動/被動	字符	
advisory lock	咨询锁	諮詢鎖定	MS	咨询锁→諮詢鎖定(advisory lock)
after-images	后映像	後映像	MS	后映像→後映像(after-image)
aggregate	聚合	聚合	字符	
aggregate function	聚合函数	聚合函式	官方推定	
Analyzer	分析器	分析器	字符	
Anti-Join	反连接	反聯結	MS	反连接→反聯結(anti-join)
arbiter indexes	仲裁索引	仲裁索引	官方推定	
archive log	归档日志	封存日誌	官方推定	归档→封存(pg_dump: archive file → 封存檔案)
arithmetic mean	算术平均值	算術平均數	MS	平均值→平均數(mean)
assignment cast	赋值类型转换	指派型別轉換	MS	赋值→指派(assignment = 指派);类型转换→型別轉換(cast)
atomic broadcast	原子广播	原子廣播	字符	
atomic commit	原子提交	原子提交	字符	
atomic increment	原子递增	原子遞增	字符	
Atomicity	原子性	原子性	字符	
authenticated user	已认证用户	已驗證使用者	官方推定	认证→驗證(authenticate = 驗證;certification 才是 認證)
automatically updatable	自动可更新	自動可更新	官方推定	
autovacuum	自动清理	自動清理	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
autovacuum daemon	自动清理守护进程	自動清理常駐程式	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義);守护进程→常駐程式(daemon = 常駐程式)
B-tree	B-树	B-樹	字符	
back reference	反向引用	反向參考	MS	反向引用→反向參考(backreference)
Backend Process	后端进程	後端行程	官方推定	
background process	后台进程	背景行程	MS	后台进程→背景行程(background = 背景)
background worker	后台工作进程	背景工作行程	官方推定	后台→背景(background = 背景;禁 s2t 偽影 後臺);工作进程→工作行程(行程系列;zstd 等壓縮 worker 為 執行緒)
Background Worker Process	后台工作进程	背景工作行程	官方推定	后台→背景(background = 背景;禁 s2t 偽影 後臺);工作进程→工作行程(行程系列;zstd 等壓縮 worker 為 執行緒)
background writer	后台写入进程	背景寫入行程	官方推定	后台→背景(background = 背景;禁 s2t 偽影 後臺);进程→行程(官方 zh_TW: child process → 子行程(MS 作 處理序))
